OrderId,OrderDate,OrderStatus,ProductId,ProductDescription,Presentacion,TipoGrano,SubproductAmount,Unit,Stock,Price,Discount,IsAvailable,Quantity,Total,CustomerName,CustomerEmail,CustomerPhone
696dfbb1-658d-424e-85ec-ea326a57e50c,16/10/2024,Pendiente,01c3a1e1-5c94-43cc-98c0-66e609c69d81,Cafe Mezcla,N/A,N/A,1,Kilo,-21,80000,0,Yes,2,160000,user01,user01@gmail.com,987567123
859ff713-0be0-44ee-8d8d-8b2aec6e4b9d,16/10/2024,Pendiente,01c3a1e1-5c94-43cc-98c0-66e609c69d81,Cafe Mezcla,N/A,N/A,1,Kilo,-21,80000,0,Yes,2,160000,user01,user01@gmail.com,987567123
ba0fbbdc-1f09-47af-b39f-daab7f4152a5,17/10/2024,Pendiente,01c3a1e1-5c94-43cc-98c0-66e609c69d81,Cafe Mezcla,N/A,N/A,1,Kilo,-21,80000,0,Yes,2,160000,user01,user01@gmail.com,987567123
ef1df118-60b8-4de4-9c73-2a9dcf7d4205,21/10/2024,Pendiente,01c3a1e1-5c94-43cc-98c0-66e609c69d81,Cafe Mezcla,N/A,N/A,1,Kilo,-21,80000,0,Yes,2,160000,user01,user01@gmail.com,987567123
2ece11ba-6b4e-4b96-b79f-ad2876c0e358,21/10/2024,Pendiente,01c3a1e1-5c94-43cc-98c0-66e609c69d81,Cafe Mezcla,N/A,N/A,1,Kilo,-21,80000,0,Yes,2,160000,user01,user01@gmail.com,987567123
ce71c175-7097-4c36-8a6b-201eb75c5fbd,22/10/2024,Pendiente,01c3a1e1-5c94-43cc-98c0-66e609c69d81,Cafe Mezcla,N/A,N/A,1,Kilo,-21,80000,0,Yes,2,160000,user01,user01@gmail.com,987567123
52386729-df05-4e6c-821a-1d49d9839f8f,22/10/2024,Pendiente,01c3a1e1-5c94-43cc-98c0-66e609c69d81,Cafe Mezcla,N/A,N/A,1,Kilo,-21,80000,0,Yes,2,160000,user01,user01@gmail.com,987567123
494aedb5-eede-4da5-9906-ac5acd0530ad,22/10/2024,Pendiente,01c3a1e1-5c94-43cc-98c0-66e609c69d81,Cafe Mezcla,N/A,N/A,1,Kilo,-21,80000,0,Yes,2,160000,user01,user01@gmail.com,987567123
97d42232-0f39-4508-9e29-32353f7c1271,22/10/2024,Pendiente,01c3a1e1-5c94-43cc-98c0-66e609c69d81,Cafe Mezcla,N/A,N/A,1,Kilo,-21,80000,0,Yes,2,160000,user01,user01@gmail.com,987567123
1fc8f2b0-c990-4880-817c-ba140f28a82e,22/10/2024,Pendiente,01c3a1e1-5c94-43cc-98c0-66e609c69d81,Cafe Mezcla,N/A,N/A,1,Kilo,-21,80000,0,Yes,2,160000,user01,user01@gmail.com,987567123
